URL,Category,Mobile_Performance_Score,Mobile_FCP,Mobile_LCP,Mobile_SI,Mobile_TTI,Mobile_TBT,Mobile_CLS,Desktop_Performance_Score,Desktop_FCP,Desktop_LCP,Desktop_SI,Desktop_TTI,Desktop_TBT,Desktop_CLS
https://www.sortlist.com/blog/augmented-reality-marketing/,Blog,65,3302,14476,5110,19365,102,0,75,381,3785,1866,4221,122,0
https://www.sortlist.com/blog/how-to-make-a-chatbot/,Blog,58,3914,16173,8105,20417,138,0,62,723,3025,2293,4770,253,0
https://www.sortlist.com/blog/how-to-create-a-poll-on-facebook/,Blog,29,5251,9417,7242,21970,4430,0,77,1109,3021,1109,3855,154,0
https://www.sortlist.com/de/agency/internetagentur-webwandel,Other,48,1417,14566,4784,15158,1120,0,53,381,2575,2641,4289,747,0
https://www.sortlist.com/de/agency/sevendays,Other,44,1533,12596,7125,17300,1174,0,60,444,1794,1852,5264,1597,0
https://www.sortlist.com/de/agency/gorilla-app,Other,43,1396,7156,7101,16800,1564,0,57,401,1989,2116,5120,1383,0
https://www.sortlist.com/de/agency/williams-gauld,Other,53,1407,6504,4242,15342,1008,0,59,363,1792,2015,5302,1951,0
https://www.sortlist.com/de/agency/calltech,Other,53,1410,6768,2614,15219,1122,0,70,425,616,788,5082,1653,0
https://www.sortlist.com/de/agency/omeg-agency,Other,41,1801,8538,6140,16034,1864,0,70,401,1240,720,4234,816,0
https://www.sortlist.com/de/agency/figallo-agency,Other,44,1615,7844,4627,17200,2346,0,69,424,854,1088,5377,1710,0
https://www.sortlist.com/de/agency/prime-marketing-3,Other,51,1401,6837,4486,15821,1097,0,50,407,2887,2133,4866,1582,0
https://www.sortlist.com/de/agency/digitalwert-gmbh,Other,48,1425,6376,2924,16066,2372,0,64,412,1526,1337,5463,1960,0
https://www.sortlist.com/de/agency/eckstein-design,Other,55,1371,7483,5827,15380,620,0,65,378,1649,893,4519,957,0
https://www.sortlist.com/de/agency/sps-gmbh-co-kg,Other,55,1406,6333,4361,15829,865,0,67,403,1310,935,5022,1366,0
https://www.sortlist.com/de/s/pinterest-advertising/oesterreich-at,Other,71,1677,3114,5293,8326,712,0,72,446,678,1517,2323,724,0
https://www.sortlist.com/de/s/motion-graphics/oesterreich-at,Other,84,1576,2579,4459,7534,400,0,67,449,1452,1411,2548,854,0
https://www.sortlist.com/de/agency/antadis,Other,46,1594,8053,4706,17401,1410,0,61,380,1936,1675,4923,884,0
https://www.sortlist.com/de/agency/cape6-gmbh,Other,49,1460,6515,3778,15524,1567,0,61,399,1738,1769,4930,1401,0
https://www.sortlist.com/de/agency/coffeecom,Other,49,1440,6538,2676,16238,2050,0,55,354,2522,1638,4565,1297,0
https://www.sortlist.com/de/agency/techedge-gmbh,Other,50,1422,6334,3035,15399,1688,0,72,363,543,1153,4164,817,0
https://www.sortlist.com/de/s/animiertes-video/schweiz-ch,Other,84,1582,2551,3367,7662,465,0,75,408,706,1189,2069,591,0
https://www.sortlist.com/de/agency/seoagents,Other,75,1408,2429,3797,15947,888,0,75,361,1151,816,4254,544,0
https://www.sortlist.com/de/agency/ransoft,Other,59,1402,6279,2921,14505,733,0,67,394,1274,1224,4526,1160,0
https://www.sortlist.com/de/agency/innovationsraum,Other,46,1398,6461,4419,17313,2171,0,64,348,1532,1675,4452,991,0
https://www.sortlist.com/de/agency/scheer-pas-schweiz-ag,Other,52,1430,6394,3337,15195,1234,0,68,375,1223,1235,4348,992,0
https://www.sortlist.com/de/agency/social-media-piraten,Other,50,1578,7343,4947,17518,1008,0,65,416,1986,1527,4204,615,0
https://www.sortlist.com/de/agency/swissglobal-language-services-ag,Other,49,1441,6489,3539,15538,1693,0,67,426,1368,944,4522,1227,0
https://www.sortlist.com/de/agency/sentiform,Other,45,1593,7295,4604,17032,2088,0,63,390,1793,1538,5087,888,0
https://www.sortlist.com/de/s/seo-content-creation/oesterreich-at,Other,89,1520,2251,4752,7148,290,0,74,434,562,1238,2210,692,0
https://www.sortlist.com/de/agency/pooliestudios,Other,80,1394,2427,2832,14716,688,0,69,349,522,1748,4393,958,0
https://www.sortlist.com/de/agency/sounds-like-film,Other,46,1585,7413,5593,16097,1367,0,62,428,1800,1087,5292,1844,0
https://www.sortlist.com/de/agency/medienhaus,Other,60,1410,6695,3683,14984,589,0,65,430,1578,969,4527,1041,0
https://www.sortlist.com/de/agency/lane-digital-consulting,Other,42,1731,12473,7009,18424,1351,0,55,384,2422,2280,4894,790,0
https://www.sortlist.com/agency/baharin-essay-writer,Agency,50,1431,6453,2913,15797,1519,0,67,354,511,2137,4381,962,0
https://www.sortlist.com/agency/sinclair-public-affairs,Agency,66,1240,5694,3663,14770,479,0,71,373,842,710,4183,917,0
https://www.sortlist.com/agency/fellers-snider,Agency,51,1266,6237,3373,15362,1362,0,74,352,544,1329,4062,644,0
https://www.sortlist.com/agency/avomind,Agency,51,1426,6635,4367,15586,1083,0,70,374,1225,760,4273,859,0
